  0.0000   0.0000   0.0000
  0.1250   0.0000   0.0000
  0.2500   0.0000   0.0000
  0.3750   0.0000   0.0000
  0.5000   0.0000   0.0000
  0.6250   0.0000   0.0000
  0.7500   0.0000   0.0000
  0.8750   0.0000   0.0000
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.0000
  0.1250   0.1250   0.0131
  0.2500   0.1250   0.0241
  0.3750   0.1250   0.0315
  0.5000   0.1250   0.0341
  0.6250   0.1250   0.0315
  0.7500   0.1250   0.0241
  0.8750   0.1250   0.0131
  1.0000   0.1250   0.0000

  0.0000   0.2500   0.0000
  0.1250   0.2500   0.0241
  0.2500   0.2500   0.0446
  0.3750   0.2500   0.0583
  0.5000   0.2500   0.0631
  0.6250   0.2500   0.0583
  0.7500   0.2500   0.0446
  0.8750   0.2500   0.0241
  1.0000   0.2500   0.0000

  0.0000   0.3750   0.0000
  0.1250   0.3750   0.0315
  0.2500   0.3750   0.0583
  0.3750   0.3750   0.0761
  0.5000   0.3750   0.0824
  0.6250   0.3750   0.0761
  0.7500   0.3750   0.0583
  0.8750   0.3750   0.0315
  1.0000   0.3750   0.0000

  0.0000   0.5000   0.0000
  0.1250   0.5000   0.0341
  0.2500   0.5000   0.0631
  0.3750   0.5000   0.0824
  0.5000   0.5000   0.0892
  0.6250   0.5000   0.0824
  0.7500   0.5000   0.0631
  0.8750   0.5000   0.0341
  1.0000   0.5000   0.0000

  0.0000   0.6250   0.0000
  0.1250   0.6250   0.0315
  0.2500   0.6250   0.0583
  0.3750   0.6250   0.0761
  0.5000   0.6250   0.0824
  0.6250   0.6250   0.0761
  0.7500   0.6250   0.0583
  0.8750   0.6250   0.0315
  1.0000   0.6250   0.0000

  0.0000   0.7500   0.0000
  0.1250   0.7500   0.0241
  0.2500   0.7500   0.0446
  0.3750   0.7500   0.0583
  0.5000   0.7500   0.0631
  0.6250   0.7500   0.0583
  0.7500   0.7500   0.0446
  0.8750   0.7500   0.0241
  1.0000   0.7500   0.0000

  0.0000   0.8750   0.0000
  0.1250   0.8750   0.0131
  0.2500   0.8750   0.0241
  0.3750   0.8750   0.0315
  0.5000   0.8750   0.0341
  0.6250   0.8750   0.0315
  0.7500   0.8750   0.0241
  0.8750   0.8750   0.0131
  1.0000   0.8750   0.0000

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.0000
  0.2500   1.0000   0.0000
  0.3750   1.0000   0.0000
  0.5000   1.0000   0.0000
  0.6250   1.0000   0.0000
  0.7500   1.0000   0.0000
  0.8750   1.0000   0.0000
  1.0000   1.0000   0.0000

